# IDEA LOG — append-only, ONE line per idea.
# Before proposing: grep this file for your feature names. Same feature + same gate direction = clone, do not propose.
# After every checker run: append one line. Never edit or delete old lines.
# Format: Q<id>|<surface>|<thesis (short)>|<verdict> <IS delta>pp hold<delta>pp
# Surfaces: F1=1859_batch-mtebv74c (RETIRED, buy&hold) | F2=1936_batch-mted6ti8 (ACTIVE, 12-bar hold)
# Lessons: F2 accept-all = -0.10%/trade net; generic single-feature gates so far = noise
Q104|F2|midweek breadth momentum dip|NO-EDGE -0.1004pp hold-
Q105|F2|midweek reclaim follow-through|NO-EDGE -0.1421pp hold-
Q106|F2|shallow gap proven pair|NO-EDGE -0.0929pp hold-
Q107|F2|deep gap young pair|EDGE +0.9912pp hold-
Q108|F2|panic close volatility expansion|EDGE +4.4971pp hold+1.6501pp
Q109|F2|midweek information decline|EDGE +3.1254pp hold+0.0668pp
Q110|F2|calm proven midweek trio|NO-EDGE -0.1652pp hold-
Q111|F2|veteran pair reclaim|NO-EDGE -0.2794pp hold-
Q112|F2|Friday weak close fade|NO-EDGE -0.1899pp hold-
Q113|F2|normal breadth proven pair|NO-EDGE -0.2594pp hold-
Q114|F2|orderly decline no gap|NO-EDGE -0.3832pp hold-
Q115|F2|stationary spread equilibrium|NO-EDGE -0.1688pp hold-
Q116|F2|macro dispersion seasoned spread|NO-EDGE -0.3787pp hold-
Q117|F2|elastic spread snapback|NO-EDGE -0.1099pp hold-
Q118|F2|low noise spread reversion|NO-EDGE -0.0345pp hold-
Q119|F2|midweek stationary spread window|NO-EDGE -0.1557pp hold-
Q120|F2|systemic spread divergence climax|NO-EDGE -0.2920pp hold-
Q121|F2|consistent cointegrated pair pool|NO-EDGE -0.1265pp hold-
Q122|F2|controlled absorption breadth|NO-EDGE -0.1713pp hold-
Q123|F2|orderly spread discount imbalance|NO-EDGE +0.0124pp hold-
Q124|F2|Monday cross-sectional normalization|NO-EDGE -0.1360pp hold-
Q125|F2|shock dominant decline|EDGE +0.5389pp hold-0.1871pp
Q126|F2|fresh multihorizon lows|EDGE +6.9939pp hold+0.1021pp
Q127|F2|any horizon dislocation union|NO-EDGE +0.1890pp hold-
Q128|F2|Friday decline weekend reversion|NO-EDGE -0.0196pp hold-
Q129|F2|Monday crowd reprice|NO-EDGE -0.3782pp hold-
Q130|F2|pre-open reversal gap|NO-EDGE -0.0740pp hold-
Q131|F2|quality carry trio|NO-EDGE -0.1237pp hold-
Q132|F2|young pair clean gap|NO-EDGE -0.0878pp hold-
Q133|F2|quiet instrument sigma event|NO-EDGE -0.3035pp hold-
Q134|F2|crowd laggard close|NO-EDGE -0.6309pp hold-
